n_neighbors,weights,algorithm,metric,oversampling_method,roc_auc
231,distance,ball_tree,manhattan,none,0.9179495626731932
22,distance,ball_tree,euclidean,ada,0.9390929956793529
79,uniform,kd_tree,l2,ada,0.8755127006969278
44,uniform,auto,l2,ada,0.8919358951743788
275,uniform,ball_tree,cityblock,none,0.9152299066862611
282,uniform,ball_tree,cityblock,none,0.9151328998403784
154,uniform,auto,l2,ada,0.8601932716150927
37,uniform,ball_tree,euclidean,ada,0.8970043253972774
142,uniform,ball_tree,l2,ada,0.8618227140095982
143,uniform,ball_tree,l2,ada,0.8616904930261557
1,uniform,ball_tree,l1,none,0.7919027627407322
1,distance,auto,cityblock,ada,0.9260876401029572
95,uniform,ball_tree,l2,ada,0.871042620818097
320,distance,kd_tree,cityblock,ada,0.8924212401743342
206,distance,ball_tree,cityblock,ada,0.9021760673181874
205,distance,ball_tree,cityblock,ada,0.9022842041217115
1,uniform,ball_tree,cityblock,ada,0.9260876401029572
179,distance,ball_tree,cityblock,ada,0.9053924290670294
1,distance,ball_tree,cityblock,none,0.7919027627407322
162,distance,ball_tree,cityblock,ada,0.9076480402502467
315,distance,kd_tree,l1,ada,0.8927696262317545
140,uniform,ball_tree,cityblock,ada,0.8750434309301846
141,uniform,ball_tree,cityblock,ada,0.8749375794012465
1,uniform,kd_tree,manhattan,ada,0.9260876401029572
131,uniform,ball_tree,cityblock,ada,0.8763341756774489
130,uniform,ball_tree,cityblock,ada,0.8764804708513451
320,uniform,auto,euclidean,none,0.9114492202265349
144,uniform,ball_tree,cityblock,ada,0.8745503954640476
1,distance,kd_tree,cityblock,none,0.7919027627407322
139,uniform,ball_tree,cityblock,ada,0.8751955745029928
138,uniform,ball_tree,cityblock,ada,0.8753338785735204
141,distance,ball_tree,cityblock,ada,0.9107601351882281
320,uniform,auto,cityblock,ada,0.860539036696236
1,distance,auto,l1,none,0.7919027627407322
156,distance,ball_tree,cityblock,ada,0.9085012935477357
320,distance,auto,manhattan,ada,0.8924211861962984
145,uniform,ball_tree,cityblock,ada,0.8744075760043016
138,uniform,ball_tree,l2,ada,0.8624200714560342
140,uniform,ball_tree,l2,ada,0.8621002116304505
173,uniform,auto,euclidean,ada,0.857993730137426
158,uniform,auto,euclidean,ada,0.8597068120759426
147,uniform,ball_tree,euclidean,ada,0.8611284424761294
132,uniform,auto,euclidean,ada,0.8634029518250657
162,uniform,ball_tree,euclidean,ada,0.8592385266983378
153,uniform,auto,euclidean,ada,0.8603248301988698
148,uniform,ball_tree,euclidean,ada,0.8609859239936549
144,uniform,auto,euclidean,ada,0.8615586387369089
152,uniform,ball_tree,euclidean,ada,0.8604557516083572
160,uniform,auto,euclidean,ada,0.8594517417510176
151,uniform,ball_tree,cityblock,ada,0.8735794207343774
320,distance,kd_tree,cityblock,none,0.9166356789469908
153,uniform,ball_tree,cityblock,ada,0.8733632668295189
157,uniform,ball_tree,cityblock,ada,0.8728371205080524
155,uniform,ball_tree,cityblock,ada,0.873091768399782
159,uniform,ball_tree,cityblock,ada,0.8725676902483133
158,uniform,ball_tree,cityblock,ada,0.8727018790919071
1,uniform,auto,manhattan,none,0.7919027627407322
152,uniform,ball_tree,cityblock,ada,0.8734898371347395
149,uniform,ball_tree,cityblock,ada,0.873841766955934
320,uniform,kd_tree,l1,none,0.9145559893549189
154,uniform,ball_tree,cityblock,ada,0.8732419887140591
199,uniform,kd_tree,cityblock,ada,0.8682792006998836
162,uniform,ball_tree,cityblock,ada,0.8722296145923103
183,uniform,auto,euclidean,ada,0.8570039270635439
156,uniform,ball_tree,cityblock,ada,0.8729531345870883
320,distance,auto,cityblock,none,0.9166357432267693
39,uniform,auto,l2,none,0.9121337408642917
183,uniform,auto,l2,ada,0.8570038883401457
161,uniform,ball_tree,cityblock,ada,0.8723081309433699
164,uniform,ball_tree,cityblock,ada,0.8719907934033455
59,distance,ball_tree,manhattan,none,0.9175382892672506
160,uniform,ball_tree,cityblock,ada,0.8724412748373029
16,distance,kd_tree,cityblock,ada,0.953963287686896
150,uniform,ball_tree,cityblock,ada,0.873733004716777
146,uniform,auto,cityblock,ada,0.8742655838181932
320,distance,auto,l1,ada,0.8924211861962984
87,uniform,ball_tree,euclidean,ada,0.8731232967171286
265,distance,auto,cityblock,none,0.9173794370978601
320,distance,ball_tree,manhattan,none,0.9166357432267693
168,uniform,ball_tree,l1,ada,0.8715162471496339
164,uniform,auto,l1,ada,0.8719909852600595
155,uniform,auto,l1,ada,0.873091481494695
165,uniform,ball_tree,l1,ada,0.871881941975678
258,distance,auto,cityblock,none,0.9174116318835434
1,distance,kd_tree,euclidean,none,0.790827875027452
320,uniform,kd_tree,manhattan,ada,0.8605391024086272
129,distance,auto,l1,none,0.9189732179421085
307,distance,auto,cityblock,none,0.9167917712068819
167,uniform,ball_tree,cityblock,ada,0.8716464134547349
260,distance,auto,cityblock,none,0.9174179316722744
168,uniform,ball_tree,cityblock,ada,0.8715162471496339
163,uniform,ball_tree,cityblock,ada,0.8721050960324241
165,uniform,auto,cityblock,ada,0.8718819765920269
191,uniform,auto,manhattan,ada,0.8690616858391765
320,distance,kd_tree,l2,none,0.9131882037022758
