use_knn,use_mlp,use_dtc,use_lrc,oversampling_method,roc_auc
False,False,False,True,False,0.9047054724827651
False,False,False,True,True,0.953963287686896
False,False,True,False,False,0.8756369331732045
False,False,True,False,True,0.9298477401929276
False,False,True,True,False,0.906992258617772
False,False,True,True,True,0.9624059693280541
False,True,False,False,False,0.9277087186343153
False,True,False,False,True,0.9334253554286865
False,True,False,True,False,0.9237623093195463
False,True,False,True,True,0.9585186230550606
False,True,True,False,False,0.9217382904342744
False,True,True,False,True,0.9491770017509648
False,True,True,True,False,0.9208658385191981
False,True,True,True,True,0.9627168042635956
True,False,False,False,False,0.9047054724827651
True,False,False,False,True,0.953963287686896
True,False,False,True,False,0.9047054724827651
True,False,False,True,True,0.953963287686896
True,False,True,False,False,0.9071425770100828
True,False,True,False,True,0.9637073326949132
True,False,True,True,False,0.9091068096957344
True,False,True,True,True,0.9648721565347813
True,True,False,False,False,0.9240222335458897
True,True,False,False,True,0.9590674541510813
True,True,False,True,False,0.9212588312960207
True,True,False,True,True,0.96102677027084
True,True,True,False,False,0.9215743552759842
True,True,True,False,True,0.9633709925216354
True,True,True,True,False,0.9207744188323632
True,True,True,True,True,0.9651528184244139
